Algorithm,N,k,Alphabet Size,Total Time,Preprocessing Time
9,1000000000,100,256,error,error
9,1000000000,1000,256,error,error
9,1000000000,10000,256,error,error
9,1000000000,100000,256,error,error
10,100000,1,256,0.001029,0.001018
10,100000,10,256,0.001071,0.000972
10,100000,100,256,0.002420,0.001504
10,100000,1000,256,0.046527,0.002057
10,100000,10000,256,2.776818,0.001163
10,1000000,1,256,0.030278,0.029058
10,1000000,10,256,0.016633,0.012473
10,1000000,100,256,0.015258,0.010553
10,1000000,1000,256,0.051668,0.011201
10,1000000,10000,256,3.712510,0.010459
10,1000000,100000,256,null,null
10,10000000,1,256,0.207209,0.181585
10,10000000,10,256,0.214486,0.176113
10,10000000,100,256,0.228921,0.177293
10,10000000,1000,256,0.264818,0.176188
10,10000000,10000,256,4.233023,0.178590
10,10000000,100000,256,null,null
10,100000000,1,256,6.866436,6.492049
10,100000000,10,256,6.571927,6.004363
10,100000000,100,256,6.609930,5.711240
10,100000000,1000,256,6.752630,5.704127
10,100000000,10000,256,12.976733,5.834506
10,100000000,100000,256,null,null
10,1000000000,1,256,error,error
10,1000000000,10,256,error,error
10,1000000000,100,256,error,error
10,1000000000,1000,256,error,error
10,1000000000,10000,256,error,error
10,1000000000,100000,256,error,error
11,100000,1,256,0.397004,0.396897
11,100000,10,256,0.269801,0.269675
11,100000,100,256,0.205566,0.205053
11,100000,1000,256,0.148201,0.116963
11,100000,10000,256,2.660191,0.046811
11,1000000,1,256,4.959878,4.956661
11,1000000,10,256,4.869286,4.866172
11,1000000,100,256,3.959224,3.955435
11,1000000,1000,256,2.742235,2.692117
11,1000000,10000,256,5.073314,1.283071
11,1000000,100000,256,null,null
11,10000000,1,256,84.617551,84.573665
11,10000000,10,256,78.129106,78.084445
11,10000000,100,256,62.086595,62.039794
11,10000000,1000,256,47.454025,47.353601
11,10000000,10000,256,37.854100,32.650734
11,10000000,100000,256,null,null
11,100000000,1,256,null,null
11,100000000,10,256,null,null
11,100000000,100,256,null,null
11,100000000,1000,256,null,null
11,100000000,10000,256,null,null
11,100000000,100000,256,null,null
11,1000000000,1,256,null,null
11,1000000000,10,256,error,error
11,1000000000,100,256,error,error
11,1000000000,1000,256,error,error
11,1000000000,10000,256,error,error
11,1000000000,100000,256,error,error
12,100000,1,256,0.003248,0.000000
12,100000,10,256,0.005945,0.000000
12,100000,100,256,0.047877,0.000000
12,100000,1000,256,0.348333,0.000000
12,100000,10000,256,3.094585,0.000000
12,1000000,1,256,0.024641,0.000000
12,1000000,10,256,0.052498,0.000000
12,1000000,100,256,0.424848,0.000000
12,1000000,1000,256,596.871380,0.000000
12,1000000,10000,256,39.883431,0.000000
12,1000000,100000,256,null,null
12,10000000,1,256,0.208050,0.000000
12,10000000,10,256,0.288758,0.000000
12,10000000,100,256,3.273496,0.000000
12,10000000,1000,256,367.663798,0.000000
12,10000000,10000,256,null,null
12,10000000,100000,256,null,null
12,100000000,1,256,2.507355,0.000000
12,100000000,10,256,6.684320,0.000000
12,100000000,100,256,1047.934011,0.000000
12,100000000,1000,256,null,null
